complaint_id,complaint_text,is_duplicate
CMP2007,My debit card transaction was declined at the petrol pump even though I have sufficient balance. This is very inconvenient.,False
CMP2113,Email sent to customer support 3 weeks ago has not received any response whatsoever.,False
CMP1003,I tried to withdraw cash from ATM but the transaction failed and money got deducted from my account. Amount of Rs 5000 is still not credited back.,False
CMP2339,I am writing to complain about the following issue. Aadhaar seeding with bank account not completed even after submitting request at branch.,False
CMP1091,Cannot change my mobile banking MPIN through the app. Getting an error at the last step after entering OTP.,False
CMP1093,QR code payment scan is not working in the mobile app. Camera opens but does not scan any QR code.,False
CMP2002,My debit card transaction was declined at the petrol pump even though I have sufficient balance. This is very inconvenient. Kindly look into this urgently.,False
CMP1059,Unable to add a new payee on net banking for the last 5 days. Getting error message every time I try to add.,False
CMP2219,I am writing to complain about the following issue. My net banking account was suspended without any intimation. I have not violated any terms.,False
CMP2313,Cannot download my account statement from the mobile app. Option is greyed out. Kindly look into this urgently.,False
CMP2094,Credit card upgrade to platinum was rejected without any reason. My income and repayment history are excellent.,False
CMP2214,My net banking account was suspended without any intimation. I have not violated any terms.,False
CMP2257,Loan repayment schedule shared at disbursement does not match what is being deducted as EMI. Kindly look into this urgently.,False
CMP2133,Toll free number does not connect to any agent after 30 minutes of waiting. This is ridiculous.,False
CMP2041,ATM dispensed less cash than the amount requested but full amount was debited from my account.,False
CMP1004,My debit card is not working at POS terminals for the past 3 days. Online transactions are also getting declined. Very embarrassing situation in public.,False
CMP2231,My mobile number update request is pending for 1 month. I cannot receive OTPs on old number.,False
CMP2212,My net banking account was suspended without any intimation. I have not violated any terms. Kindly look into this urgently.,False
CMP2063,Credit card minimum due amount is calculated incorrectly on my latest statement. I am being overcharged.,False
CMP2277,My gold loan is due for renewal but the branch is not responding to my renewal request. Kindly look into this urgently.,False
CMP2324,Mobile banking PIN gets reset automatically every few days forcing me to set it again. Kindly look into this urgently.,False
CMP2232,My mobile number update request is pending for 1 month. I cannot receive OTPs on old number. Kindly look into this urgently.,False
CMP1101,Salary account opening request from my company HR is pending for 4 weeks. Salary cannot be credited without account.,False
CMP2161,I sent money to wrong account number by mistake and need immediate help for reversal.,False
CMP2353,I am writing to complain about the following issue. Recurring deposit account not opening through net banking. Error at the final step.,False
CMP2148,Transfer to my own account in another bank is taking more than 24 hours to reflect. Kindly look into this urgently.,False
CMP2377,I cannot find the option to break my FD prematurely in the net banking portal.,False
CMP2111,I visited the branch 4 times for a simple signature update but the work is still not done.,False
CMP1008,Daily ATM withdrawal limit was reduced without my consent. I was not informed about this change in my account.,False
CMP2086,Credit card upgrade to platinum was rejected without any reason. My income and repayment history are excellent. Kindly look into this urgently.,False
CMP2012,I am writing to complain about the following issue. My debit card transaction was declined at the petrol pump even though I have sufficient balance. This is very inconvenient.,False
CMP2338,Aadhaar seeding with bank account not completed even after submitting request at branch. Kindly look into this urgently.,False
CMP2091,Credit card upgrade to platinum was rejected without any reason. My income and repayment history are excellent.,False
CMP2215,My net banking account was suspended without any intimation. I have not violated any terms. Kindly look into this urgently.,False
CMP2220,My net banking account was suspended without any intimation. I have not violated any terms.,False
CMP2089,Credit card upgrade to platinum was rejected without any reason. My income and repayment history are excellent. Kindly look into this urgently.,False
CMP2169,Net banking shows transfer successful but beneficiary bank says no credit received.,False
CMP2223,My net banking account was suspended without any intimation. I have not violated any terms.,False
CMP2198,Net banking is not working on my new laptop. It works on mobile but not on the computer. Kindly look into this urgently.,False
CMP2121,I am writing to complain about the following issue. Email sent to customer support 3 weeks ago has not received any response whatsoever.,False
CMP2006,I am writing to complain about the following issue. My debit card transaction was declined at the petrol pump even though I have sufficient balance. This is very inconvenient.,False
CMP2064,Credit card minimum due amount is calculated incorrectly on my latest statement. I am being overcharged. Kindly look into this urgently.,False
CMP2335,Mobile banking PIN gets reset automatically every few days forcing me to set it again.,False
CMP2337,Aadhaar seeding with bank account not completed even after submitting request at branch.,False
CMP2038,ATM dispensed less cash than the amount requested but full amount was debited from my account.,False
CMP2018,I have not received my debit card after opening account 3 weeks ago. Please dispatch it urgently.,False
CMP2197,Net banking is not working on my new laptop. It works on mobile but not on the computer.,False
CMP2207,Net banking is not working on my new laptop. It works on mobile but not on the computer. Kindly look into this urgently.,False
CMP2087,I am writing to complain about the following issue. Credit card upgrade to platinum was rejected without any reason. My income and repayment history are excellent.,False
CMP9021,I received a credit card statement showing transactions that I did not make. This looks like fraudulent activity on my account.,True
CMP1035,I was promised a callback within 24 hours but it has been 5 days and no one has called me back yet.,False
CMP9012,I have been calling the customer care number for the past 2 hours but the call keeps getting disconnected after long hold times. Extremely poor service.,True
CMP9001,Mobile app session expires too quickly during transactions. By the time I enter OTP the session is already expired.,True
CMP1015,My credit card limit was reduced from 2 lakhs to 50000 without any prior notice or reason. This is affecting my credit score.,False
CMP2201,Net banking is not working on my new laptop. It works on mobile but not on the computer. Kindly look into this urgently.,False
CMP2107,I am writing to complain about the following issue. I visited the branch 4 times for a simple signature update but the work is still not done.,False
CMP2158,I sent money to wrong account number by mistake and need immediate help for reversal.,False
CMP2015,I have not received my debit card after opening account 3 weeks ago. Please dispatch it urgently.,False
CMP1114,Senior citizen FD interest rate benefit not applied to my deposits even after submitting age proof documents.,False
CMP2162,I sent money to wrong account number by mistake and need immediate help for reversal. Kindly look into this urgently.,False
CMP2222,I am writing to complain about the following issue. My net banking account was suspended without any intimation. I have not violated any terms.,False
CMP2308,Mobile app does not support the latest Android version. I cannot use banking on my new phone. Kindly look into this urgently.,False
CMP2171,I am writing to complain about the following issue. Net banking shows transfer successful but beneficiary bank says no credit received.,False
CMP2328,I am writing to complain about the following issue. Mobile banking PIN gets reset automatically every few days forcing me to set it again.,False
CMP1049,My net banking account is locked after 3 failed login attempts. Even after visiting the branch it has not been unlocked.,False
CMP2322,Cannot download my account statement from the mobile app. Option is greyed out. Kindly look into this urgently.,False
CMP2315,Cannot download my account statement from the mobile app. Option is greyed out.,False
CMP2235,My mobile number update request is pending for 1 month. I cannot receive OTPs on old number. Kindly look into this urgently.,False
CMP1029,Relationship manager allocated to my account never picks up calls or responds to emails. Very poor service quality.,False
CMP2068,I am writing to complain about the following issue. Credit card minimum due amount is calculated incorrectly on my latest statement. I am being overcharged.,False
CMP2058,Credit card minimum due amount is calculated incorrectly on my latest statement. I am being overcharged. Kindly look into this urgently.,False
CMP1098,Savings account opening at the branch took 3 hours due to staff being unprepared and asking for documents multiple times.,False
CMP1089,Transaction history in the app is not updated in real time. Yesterday transactions are still not showing today.,False
CMP2115,I am writing to complain about the following issue. Email sent to customer support 3 weeks ago has not received any response whatsoever.,False
CMP2085,Credit card upgrade to platinum was rejected without any reason. My income and repayment history are excellent.,False
CMP2088,Credit card upgrade to platinum was rejected without any reason. My income and repayment history are excellent.,False
CMP2252,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and reprint takes time. Kindly look into this urgently.,False
CMP1080,Top-up loan request submitted 4 weeks ago with all documents. No decision communicated. I need funds urgently.,False
CMP2221,My net banking account was suspended without any intimation. I have not violated any terms. Kindly look into this urgently.,False
CMP2097,Credit card upgrade to platinum was rejected without any reason. My income and repayment history are excellent.,False
CMP2179,Net banking shows transfer successful but beneficiary bank says no credit received. Kindly look into this urgently.,False
CMP2304,Mobile app does not support the latest Android version. I cannot use banking on my new phone.,False
CMP2365,I cannot find the option to break my FD prematurely in the net banking portal.,False
CMP2258,I am writing to complain about the following issue. Loan repayment schedule shared at disbursement does not match what is being deducted as EMI.,False
CMP1032,Complaint registered on the bank app shows resolved status but the actual issue has not been fixed at all.,False
CMP2039,ATM dispensed less cash than the amount requested but full amount was debited from my account. Kindly look into this urgently.,False
CMP2392,FD amount was not renewed on maturity date and instead credited to savings causing loss of interest. Kindly look into this urgently.,False
CMP1053,Net banking website shows incorrect account balance. The balance shown is less than what should be in the account.,False
CMP2293,Prepayment of loan not being accepted online. Being forced to visit branch which is far.,False
CMP2262,Loan repayment schedule shared at disbursement does not match what is being deducted as EMI.,False
CMP2391,FD amount was not renewed on maturity date and instead credited to savings causing loss of interest.,False
CMP2083,My credit card was not delivered to my address even after 3 weeks of application approval.,False
CMP2010,My debit card transaction was declined at the petrol pump even though I have sufficient balance. This is very inconvenient.,False
CMP9013,This is regarding my previous complaint. RTGS transfer of Rs 2 lakhs failed midway and money was debited from my account but not credited to beneficiary. Please investigate urgently.,True
CMP1118,Interest payout for monthly interest FD not received for last 2 months. No explanation provided by the bank.,False
CMP2076,I am writing to complain about the following issue. My credit card was not delivered to my address even after 3 weeks of application approval.,False
CMP1094,Push notifications for transactions are not coming to my phone even though notifications are enabled for the app.,False
CMP2177,I am writing to complain about the following issue. Net banking shows transfer successful but beneficiary bank says no credit received.,False
CMP2081,My credit card was not delivered to my address even after 3 weeks of application approval. Kindly look into this urgently.,False
CMP2099,I visited the branch 4 times for a simple signature update but the work is still not done.,False
CMP1104,NRI account opening process is very complicated. Documents submitted twice but keeps getting rejected for minor reasons.,False
CMP2078,My credit card was not delivered to my address even after 3 weeks of application approval. Kindly look into this urgently.,False
CMP1092,App shows wrong account balance compared to what I see on internet banking. There is a discrepancy of Rs 10000.,False
CMP2174,I am writing to complain about the following issue. Net banking shows transfer successful but beneficiary bank says no credit received.,False
CMP2366,I cannot find the option to break my FD prematurely in the net banking portal. Kindly look into this urgently.,False
CMP2281,Prepayment of loan not being accepted online. Being forced to visit branch which is far.,False
CMP2142,Transfer to my own account in another bank is taking more than 24 hours to reflect. Kindly look into this urgently.,False
CMP2059,I am writing to complain about the following issue. Credit card minimum due amount is calculated incorrectly on my latest statement. I am being overcharged.,False
CMP2011,My debit card transaction was declined at the petrol pump even though I have sufficient balance. This is very inconvenient. Kindly look into this urgently.,False
CMP2260,Loan repayment schedule shared at disbursement does not match what is being deducted as EMI. Kindly look into this urgently.,False
CMP1105,Account number provided at opening is different from what appears in the welcome kit. There seems to be an error.,False
CMP2323,Mobile banking PIN gets reset automatically every few days forcing me to set it again.,False
CMP2370,I am writing to complain about the following issue. I cannot find the option to break my FD prematurely in the net banking portal.,False
CMP9002,This is regarding my previous complaint. KYC update done online was rejected without any reason or communication from the bank. Need clarity on what was wrong.,True
CMP2172,Net banking shows transfer successful but beneficiary bank says no credit received.,False
CMP1009,Contactless payment feature on my debit card is not working at most merchant terminals. Please look into this issue.,False
CMP2126,Email sent to customer support 3 weeks ago has not received any response whatsoever. Kindly look into this urgently.,False
CMP1087,App is not recognizing my fingerprint for login even though biometric login is enabled and fingerprint is registered.,False
CMP1068,My account was marked dormant even though I had transactions in the last 6 months. Activation is taking too long.,False
CMP2352,Recurring deposit account not opening through net banking. Error at the final step. Kindly look into this urgently.,False
CMP2241,I am writing to complain about the following issue. Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and reprint takes time.,False
CMP2084,My credit card was not delivered to my address even after 3 weeks of application approval. Kindly look into this urgently.,False
CMP2275,I am writing to complain about the following issue. My gold loan is due for renewal but the branch is not responding to my renewal request.,False
CMP2168,I sent money to wrong account number by mistake and need immediate help for reversal. Kindly look into this urgently.,False
CMP2298,Mobile app does not support the latest Android version. I cannot use banking on my new phone.,False
CMP2160,I am writing to complain about the following issue. I sent money to wrong account number by mistake and need immediate help for reversal.,False
CMP2061,Credit card minimum due amount is calculated incorrectly on my latest statement. I am being overcharged. Kindly look into this urgently.,False
CMP2371,I cannot find the option to break my FD prematurely in the net banking portal.,False
CMP1065,PAN card update request submitted 2 months ago is still not reflected in my account. Getting tax related issues.,False
CMP2389,FD amount was not renewed on maturity date and instead credited to savings causing loss of interest. Kindly look into this urgently.,False
CMP1006,Card was reported stolen and new card was promised within 7 days but it has been 15 days and I still have not received the replacement card.,False
CMP9020,Video KYC appointment was scheduled but the bank representative did not join the call at the appointed time. Kindly resolve on priority basis.,True
CMP2330,Mobile banking PIN gets reset automatically every few days forcing me to set it again. Kindly look into this urgently.,False
CMP9017,UPI transfer failed but amount got deducted. It has been 5 days and the reversal has not happened yet. This is completely unacceptable. Kindly resolve on priority basis.,True
CMP1022,Credit card statement not received for 2 consecutive months. Due date missed because of this and charges applied.,False
CMP1047,Fund transfer confirmation email not received even after 24 hours. I am unable to confirm if transaction was successful.,False
CMP2357,Recurring deposit account not opening through net banking. Error at the final step.,False
CMP1020,Credit card application was rejected without providing any reason. My CIBIL score is above 750 and income is sufficient.,False
CMP1113,FD created through net banking does not appear in my account statement. I have the confirmation but no FD visible.,False
CMP2253,Loan repayment schedule shared at disbursement does not match what is being deducted as EMI.,False
CMP2072,My credit card was not delivered to my address even after 3 weeks of application approval. Kindly look into this urgently.,False
CMP2167,I sent money to wrong account number by mistake and need immediate help for reversal.,False
CMP9027,Mobile banking app on iOS is crashing after the latest update. Please rollback or fix the update immediately. Kindly resolve on priority basis.,True
CMP2199,I am writing to complain about the following issue. Net banking is not working on my new laptop. It works on mobile but not on the computer.,False
CMP2170,Net banking shows transfer successful but beneficiary bank says no credit received. Kindly look into this urgently.,False
CMP2147,Transfer to my own account in another bank is taking more than 24 hours to reflect.,False
CMP1107,Senior citizen account benefits not applied to my account even though I submitted age proof at the time of opening.,False
CMP2066,Credit card minimum due amount is calculated incorrectly on my latest statement. I am being overcharged.,False
CMP2299,Mobile app does not support the latest Android version. I cannot use banking on my new phone. Kindly look into this urgently.,False
CMP1070,KYC documents submitted at branch were lost by the bank staff. I had to resubmit everything again. Very unprofessional.,False
CMP9025,Signature mismatch issue is blocking all my transactions but the signature I am using is the same as on file.,True
CMP2129,I am writing to complain about the following issue. Toll free number does not connect to any agent after 30 minutes of waiting. This is ridiculous.,False
CMP2185,I am writing to complain about the following issue. I cannot view my account mini statement on net banking. The page gives a blank screen.,False
CMP2336,Mobile banking PIN gets reset automatically every few days forcing me to set it again. Kindly look into this urgently.,False
CMP2380,FD amount was not renewed on maturity date and instead credited to savings causing loss of interest. Kindly look into this urgently.,False
CMP2057,Credit card minimum due amount is calculated incorrectly on my latest statement. I am being overcharged.,False
CMP2321,Cannot download my account statement from the mobile app. Option is greyed out.,False
CMP2234,My mobile number update request is pending for 1 month. I cannot receive OTPs on old number.,False
CMP9008,Loan EMI amount changed without any prior notice. I was not informed about any change in interest rate or tenure. I am a senior citizen and request priority service.,True
CMP2192,I cannot view my account mini statement on net banking. The page gives a blank screen.,False
CMP2021,I have not received my debit card after opening account 3 weeks ago. Please dispatch it urgently.,False
CMP2029,ATM dispensed less cash than the amount requested but full amount was debited from my account.,False
CMP2345,I am writing to complain about the following issue. Aadhaar seeding with bank account not completed even after submitting request at branch.,False
CMP2163,I am writing to complain about the following issue. I sent money to wrong account number by mistake and need immediate help for reversal.,False
CMP2157,I am writing to complain about the following issue. I sent money to wrong account number by mistake and need immediate help for reversal.,False
CMP2143,I am writing to complain about the following issue. Transfer to my own account in another bank is taking more than 24 hours to reflect.,False
CMP9004,QR code payment scan is not working in the mobile app. Camera opens but does not scan any QR code.,True
CMP2189,I cannot view my account mini statement on net banking. The page gives a blank screen.,False
CMP9018,ATM card was blocked without any prior intimation. I was unable to withdraw cash during an emergency situation. Please resolve this immediately.,True
CMP2104,I am writing to complain about the following issue. I visited the branch 4 times for a simple signature update but the work is still not done.,False
CMP2292,I am writing to complain about the following issue. Prepayment of loan not being accepted online. Being forced to visit branch which is far.,False
CMP2290,Prepayment of loan not being accepted online. Being forced to visit branch which is far.,False
CMP1115,TDS deducted on FD interest even though I had submitted Form 15G at the beginning of the financial year.,False
CMP2274,My gold loan is due for renewal but the branch is not responding to my renewal request. Kindly look into this urgently.,False
CMP2202,I am writing to complain about the following issue. Net banking is not working on my new laptop. It works on mobile but not on the computer.,False
CMP1085,Mobile banking app crashes immediately after login every time I open it. I have reinstalled the app 3 times but same issue.,False
CMP2110,I am writing to complain about the following issue. I visited the branch 4 times for a simple signature update but the work is still not done.,False
CMP2046,Debit card tokenization is not working on e-commerce websites. I cannot make any online purchases.,False
CMP2040,I am writing to complain about the following issue. ATM dispensed less cash than the amount requested but full amount was debited from my account.,False
CMP1052,Download of account statement through net banking gives corrupted PDF file every time. Issue has been there for weeks.,False
CMP2325,I am writing to complain about the following issue. Mobile banking PIN gets reset automatically every few days forcing me to set it again.,False
CMP2294,Prepayment of loan not being accepted online. Being forced to visit branch which is far. Kindly look into this urgently.,False
CMP2227,I am writing to complain about the following issue. My mobile number update request is pending for 1 month. I cannot receive OTPs on old number.,False
CMP2101,I am writing to complain about the following issue. I visited the branch 4 times for a simple signature update but the work is still not done.,False
CMP2348,I am writing to complain about the following issue. Aadhaar seeding with bank account not completed even after submitting request at branch.,False
CMP2054,I am writing to complain about the following issue. Debit card tokenization is not working on e-commerce websites. I cannot make any online purchases.,False
CMP2236,I am writing to complain about the following issue. My mobile number update request is pending for 1 month. I cannot receive OTPs on old number.,False
CMP1117,Sweep in sweep out facility linked to my FD account is not working. FD is not being used to cover account shortfall.,False
CMP2093,I am writing to complain about the following issue. Credit card upgrade to platinum was rejected without any reason. My income and repayment history are excellent.,False
CMP1076,Pre-approved loan offer shown in app disappeared when I tried to apply. Customer care has no explanation for this.,False
CMP1079,Loan statement showing incorrect outstanding amount. The principal shown is higher than what should remain after payments.,False
CMP2166,I am writing to complain about the following issue. I sent money to wrong account number by mistake and need immediate help for reversal.,False
CMP2149,I am writing to complain about the following issue. Transfer to my own account in another bank is taking more than 24 hours to reflect.,False
CMP2359,I am writing to complain about the following issue. Recurring deposit account not opening through net banking. Error at the final step.,False
CMP2217,My net banking account was suspended without any intimation. I have not violated any terms.,False
CMP1014,Credit card bill payment was done on time but late payment charges have been applied to my account. Please reverse immediately.,False
CMP2363,Recurring deposit account not opening through net banking. Error at the final step.,False
CMP2173,Net banking shows transfer successful but beneficiary bank says no credit received. Kindly look into this urgently.,False
CMP1099,Zero balance account was opened but the bank has started deducting quarterly maintenance charges after 3 months.,False
CMP2069,Credit card minimum due amount is calculated incorrectly on my latest statement. I am being overcharged.,False
CMP1039,UPI transfer failed but amount got deducted. It has been 5 days and the reversal has not happened yet. This is completely unacceptable.,False
CMP2035,ATM dispensed less cash than the amount requested but full amount was debited from my account.,False
CMP2239,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and reprint takes time.,False
CMP1025,I have been calling the customer care number for the past 2 hours but the call keeps getting disconnected after long hold times. Extremely poor service.,False
CMP2296,Mobile app does not support the latest Android version. I cannot use banking on my new phone. Kindly look into this urgently.,False
CMP2387,I am writing to complain about the following issue. FD amount was not renewed on maturity date and instead credited to savings causing loss of interest.,False
CMP2052,Debit card tokenization is not working on e-commerce websites. I cannot make any online purchases.,False
CMP1062,KYC update done online was rejected without any reason or communication from the bank. Need clarity on what was wrong.,False
CMP1088,Mobile banking app is extremely slow and takes more than 2 minutes to load each screen. This is unusable.,False
CMP2282,Prepayment of loan not being accepted online. Being forced to visit branch which is far. Kindly look into this urgently.,False
CMP2384,I am writing to complain about the following issue. FD amount was not renewed on maturity date and instead credited to savings causing loss of interest.,False
CMP1120,Partial withdrawal from FD account is not allowed on the app but the terms say partial withdrawal is permitted.,False
CMP2200,Net banking is not working on my new laptop. It works on mobile but not on the computer.,False
CMP2127,Toll free number does not connect to any agent after 30 minutes of waiting. This is ridiculous.,False
CMP2134,Toll free number does not connect to any agent after 30 minutes of waiting. This is ridiculous. Kindly look into this urgently.,False
CMP2060,Credit card minimum due amount is calculated incorrectly on my latest statement. I am being overcharged.,False
CMP1064,Bank is asking for KYC documents again even though I completed full KYC less than a year ago. This is harassment.,False
CMP1043,International wire transfer initiated 7 days ago is still in pending status. The receiver has not received the funds.,False
CMP2246,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and reprint takes time. Kindly look into this urgently.,False
CMP2181,Net banking shows transfer successful but beneficiary bank says no credit received.,False
CMP1028,My complaint filed 2 weeks ago has not been resolved and no one from the bank has contacted me with an update.,False
CMP2254,Loan repayment schedule shared at disbursement does not match what is being deducted as EMI. Kindly look into this urgently.,False
CMP2073,I am writing to complain about the following issue. My credit card was not delivered to my address even after 3 weeks of application approval.,False
CMP1066,Address change request submitted with all documents is pending for 6 weeks. Important correspondence is going to old address.,False
CMP2071,My credit card was not delivered to my address even after 3 weeks of application approval.,False
CMP2355,Recurring deposit account not opening through net banking. Error at the final step. Kindly look into this urgently.,False
CMP2098,Credit card upgrade to platinum was rejected without any reason. My income and repayment history are excellent. Kindly look into this urgently.,False
CMP2155,I sent money to wrong account number by mistake and need immediate help for reversal.,False
CMP2024,I have not received my debit card after opening account 3 weeks ago. Please dispatch it urgently.,False
