complaint_id_1,complaint_id_2,text_1,text_2,category,similarity_score,is_known_dup
CMP2360,CMP2357,Recurring deposit account not opening through net banking. Error at the final st...,Recurring deposit account not opening through net banking. Error at the final st...,Account Opening,1.0,False
CMP2360,CMP2363,Recurring deposit account not opening through net banking. Error at the final st...,Recurring deposit account not opening through net banking. Error at the final st...,Account Opening,1.0,False
CMP2184,CMP2193,I cannot view my account mini statement on net banking. The page gives a blank s...,I cannot view my account mini statement on net banking. The page gives a blank s...,Internet Banking,1.0,False
CMP2184,CMP2196,I cannot view my account mini statement on net banking. The page gives a blank s...,I cannot view my account mini statement on net banking. The page gives a blank s...,Internet Banking,1.0,False
CMP2184,CMP2190,I cannot view my account mini statement on net banking. The page gives a blank s...,I cannot view my account mini statement on net banking. The page gives a blank s...,Internet Banking,1.0,False
CMP2108,CMP2108,I visited the branch 4 times for a simple signature update but the work is still...,I visited the branch 4 times for a simple signature update but the work is still...,Customer Service,1.0,False
CMP2108,CMP2111,I visited the branch 4 times for a simple signature update but the work is still...,I visited the branch 4 times for a simple signature update but the work is still...,Customer Service,1.0,False
CMP2108,CMP2099,I visited the branch 4 times for a simple signature update but the work is still...,I visited the branch 4 times for a simple signature update but the work is still...,Customer Service,1.0,False
CMP2188,CMP2188,I am writing to complain about the following issue. I cannot view my account min...,I am writing to complain about the following issue. I cannot view my account min...,Internet Banking,1.0,False
CMP2188,CMP2185,I am writing to complain about the following issue. I cannot view my account min...,I am writing to complain about the following issue. I cannot view my account min...,Internet Banking,1.0,False
CMP2188,CMP2194,I am writing to complain about the following issue. I cannot view my account min...,I am writing to complain about the following issue. I cannot view my account min...,Internet Banking,1.0,False
CMP2205,CMP2205,I am writing to complain about the following issue. Net banking is not working o...,I am writing to complain about the following issue. Net banking is not working o...,Internet Banking,1.0,False
CMP2205,CMP2199,I am writing to complain about the following issue. Net banking is not working o...,I am writing to complain about the following issue. Net banking is not working o...,Internet Banking,1.0,False
CMP2205,CMP2202,I am writing to complain about the following issue. Net banking is not working o...,I am writing to complain about the following issue. Net banking is not working o...,Internet Banking,1.0,False
CMP1063,CMP1063,Aadhaar based KYC verification is failing repeatedly on the bank app even though...,Aadhaar based KYC verification is failing repeatedly on the bank app even though...,KYC / Documentation,1.0,False
CMP2195,CMP2192,I cannot view my account mini statement on net banking. The page gives a blank s...,I cannot view my account mini statement on net banking. The page gives a blank s...,Internet Banking,1.0,False
CMP2195,CMP2189,I cannot view my account mini statement on net banking. The page gives a blank s...,I cannot view my account mini statement on net banking. The page gives a blank s...,Internet Banking,1.0,False
CMP2195,CMP2195,I cannot view my account mini statement on net banking. The page gives a blank s...,I cannot view my account mini statement on net banking. The page gives a blank s...,Internet Banking,1.0,False
CMP2135,CMP2135,I am writing to complain about the following issue. Toll free number does not co...,I am writing to complain about the following issue. Toll free number does not co...,Customer Service,1.0,False
CMP2135,CMP2129,I am writing to complain about the following issue. Toll free number does not co...,I am writing to complain about the following issue. Toll free number does not co...,Customer Service,1.0,False
CMP2135,CMP2138,I am writing to complain about the following issue. Toll free number does not co...,I am writing to complain about the following issue. Toll free number does not co...,Customer Service,1.0,False
CMP2017,CMP2017,I am writing to complain about the following issue. I have not received my debit...,I am writing to complain about the following issue. I have not received my debit...,ATM / Debit Card,1.0,False
CMP2017,CMP2026,I am writing to complain about the following issue. I have not received my debit...,I am writing to complain about the following issue. I have not received my debit...,ATM / Debit Card,1.0,False
CMP2017,CMP2023,I am writing to complain about the following issue. I have not received my debit...,I am writing to complain about the following issue. I have not received my debit...,ATM / Debit Card,1.0,False
CMP2255,CMP2255,I am writing to complain about the following issue. Loan repayment schedule shar...,I am writing to complain about the following issue. Loan repayment schedule shar...,Loan Services,1.0,False
CMP2255,CMP2264,I am writing to complain about the following issue. Loan repayment schedule shar...,I am writing to complain about the following issue. Loan repayment schedule shar...,Loan Services,1.0,False
CMP2255,CMP2258,I am writing to complain about the following issue. Loan repayment schedule shar...,I am writing to complain about the following issue. Loan repayment schedule shar...,Loan Services,1.0,False
CMP2350,CMP2350,Aadhaar seeding with bank account not completed even after submitting request at...,Aadhaar seeding with bank account not completed even after submitting request at...,Account Opening,1.0,False
CMP2350,CMP2344,Aadhaar seeding with bank account not completed even after submitting request at...,Aadhaar seeding with bank account not completed even after submitting request at...,Account Opening,1.0,False
CMP2350,CMP2338,Aadhaar seeding with bank account not completed even after submitting request at...,Aadhaar seeding with bank account not completed even after submitting request at...,Account Opening,1.0,False
CMP2267,CMP2267,My gold loan is due for renewal but the branch is not responding to my renewal r...,My gold loan is due for renewal but the branch is not responding to my renewal r...,Loan Services,1.0,False
CMP2267,CMP2270,My gold loan is due for renewal but the branch is not responding to my renewal r...,My gold loan is due for renewal but the branch is not responding to my renewal r...,Loan Services,1.0,False
CMP2267,CMP2276,My gold loan is due for renewal but the branch is not responding to my renewal r...,My gold loan is due for renewal but the branch is not responding to my renewal r...,Loan Services,1.0,False
CMP2344,CMP2344,Aadhaar seeding with bank account not completed even after submitting request at...,Aadhaar seeding with bank account not completed even after submitting request at...,Account Opening,1.0,False
CMP2344,CMP2338,Aadhaar seeding with bank account not completed even after submitting request at...,Aadhaar seeding with bank account not completed even after submitting request at...,Account Opening,1.0,False
CMP2351,CMP2351,Recurring deposit account not opening through net banking. Error at the final st...,Recurring deposit account not opening through net banking. Error at the final st...,Account Opening,1.0,False
CMP2351,CMP2357,Recurring deposit account not opening through net banking. Error at the final st...,Recurring deposit account not opening through net banking. Error at the final st...,Account Opening,1.0,False
CMP2090,CMP2090,I am writing to complain about the following issue. Credit card upgrade to plati...,I am writing to complain about the following issue. Credit card upgrade to plati...,Credit Card,1.0,False
CMP2090,CMP2087,I am writing to complain about the following issue. Credit card upgrade to plati...,I am writing to complain about the following issue. Credit card upgrade to plati...,Credit Card,1.0,False
CMP2090,CMP2093,I am writing to complain about the following issue. Credit card upgrade to plati...,I am writing to complain about the following issue. Credit card upgrade to plati...,Credit Card,1.0,False
CMP2312,CMP2312,Cannot download my account statement from the mobile app. Option is greyed out....,Cannot download my account statement from the mobile app. Option is greyed out....,Mobile Banking App,1.0,False
CMP2312,CMP2318,Cannot download my account statement from the mobile app. Option is greyed out....,Cannot download my account statement from the mobile app. Option is greyed out....,Mobile Banking App,1.0,False
CMP2312,CMP2315,Cannot download my account statement from the mobile app. Option is greyed out....,Cannot download my account statement from the mobile app. Option is greyed out....,Mobile Banking App,1.0,False
CMP2136,CMP2136,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Customer Service,1.0,False
CMP2136,CMP2133,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Customer Service,1.0,False
CMP2136,CMP2127,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Customer Service,1.0,False
CMP2295,CMP2304,Mobile app does not support the latest Android version. I cannot use banking on ...,Mobile app does not support the latest Android version. I cannot use banking on ...,Mobile Banking App,1.0,False
CMP2295,CMP2298,Mobile app does not support the latest Android version. I cannot use banking on ...,Mobile app does not support the latest Android version. I cannot use banking on ...,Mobile Banking App,1.0,False
CMP2264,CMP2264,I am writing to complain about the following issue. Loan repayment schedule shar...,I am writing to complain about the following issue. Loan repayment schedule shar...,Loan Services,1.0,False
CMP2264,CMP2258,I am writing to complain about the following issue. Loan repayment schedule shar...,I am writing to complain about the following issue. Loan repayment schedule shar...,Loan Services,1.0,False
CMP2118,CMP2118,I am writing to complain about the following issue. Email sent to customer suppo...,I am writing to complain about the following issue. Email sent to customer suppo...,Customer Service,1.0,False
CMP2118,CMP2121,I am writing to complain about the following issue. Email sent to customer suppo...,I am writing to complain about the following issue. Email sent to customer suppo...,Customer Service,1.0,False
CMP2118,CMP2115,I am writing to complain about the following issue. Email sent to customer suppo...,I am writing to complain about the following issue. Email sent to customer suppo...,Customer Service,1.0,False
CMP2244,CMP2244,I am writing to complain about the following issue. Bank is not accepting digita...,I am writing to complain about the following issue. Bank is not accepting digita...,KYC / Documentation,1.0,False
CMP2244,CMP2250,I am writing to complain about the following issue. Bank is not accepting digita...,I am writing to complain about the following issue. Bank is not accepting digita...,KYC / Documentation,1.0,False
CMP2244,CMP2241,I am writing to complain about the following issue. Bank is not accepting digita...,I am writing to complain about the following issue. Bank is not accepting digita...,KYC / Documentation,1.0,False
CMP2004,CMP2004,My debit card transaction was declined at the petrol pump even though I have suf...,My debit card transaction was declined at the petrol pump even though I have suf...,ATM / Debit Card,1.0,False
CMP2004,CMP2007,My debit card transaction was declined at the petrol pump even though I have suf...,My debit card transaction was declined at the petrol pump even though I have suf...,ATM / Debit Card,1.0,False
CMP2004,CMP2010,My debit card transaction was declined at the petrol pump even though I have suf...,My debit card transaction was declined at the petrol pump even though I have suf...,ATM / Debit Card,1.0,False
CMP2186,CMP2186,I cannot view my account mini statement on net banking. The page gives a blank s...,I cannot view my account mini statement on net banking. The page gives a blank s...,Internet Banking,1.0,False
CMP2186,CMP2192,I cannot view my account mini statement on net banking. The page gives a blank s...,I cannot view my account mini statement on net banking. The page gives a blank s...,Internet Banking,1.0,False
CMP2186,CMP2189,I cannot view my account mini statement on net banking. The page gives a blank s...,I cannot view my account mini statement on net banking. The page gives a blank s...,Internet Banking,1.0,False
CMP2193,CMP2196,I cannot view my account mini statement on net banking. The page gives a blank s...,I cannot view my account mini statement on net banking. The page gives a blank s...,Internet Banking,1.0,False
CMP2193,CMP2190,I cannot view my account mini statement on net banking. The page gives a blank s...,I cannot view my account mini statement on net banking. The page gives a blank s...,Internet Banking,1.0,False
CMP2056,CMP2056,Debit card tokenization is not working on e-commerce websites. I cannot make any...,Debit card tokenization is not working on e-commerce websites. I cannot make any...,ATM / Debit Card,1.0,False
CMP2056,CMP2047,Debit card tokenization is not working on e-commerce websites. I cannot make any...,Debit card tokenization is not working on e-commerce websites. I cannot make any...,ATM / Debit Card,1.0,False
CMP2056,CMP2044,Debit card tokenization is not working on e-commerce websites. I cannot make any...,Debit card tokenization is not working on e-commerce websites. I cannot make any...,ATM / Debit Card,1.0,False
CMP1023,CMP1023,Foreign currency transaction charges are much higher than what was disclosed in ...,Foreign currency transaction charges are much higher than what was disclosed in ...,Credit Card,1.0,False
CMP2340,CMP2340,Aadhaar seeding with bank account not completed even after submitting request at...,Aadhaar seeding with bank account not completed even after submitting request at...,Account Opening,1.0,False
CMP2340,CMP2337,Aadhaar seeding with bank account not completed even after submitting request at...,Aadhaar seeding with bank account not completed even after submitting request at...,Account Opening,1.0,False
CMP2340,CMP2343,Aadhaar seeding with bank account not completed even after submitting request at...,Aadhaar seeding with bank account not completed even after submitting request at...,Account Opening,1.0,False
CMP2050,CMP2056,Debit card tokenization is not working on e-commerce websites. I cannot make any...,Debit card tokenization is not working on e-commerce websites. I cannot make any...,ATM / Debit Card,1.0,False
CMP2050,CMP2047,Debit card tokenization is not working on e-commerce websites. I cannot make any...,Debit card tokenization is not working on e-commerce websites. I cannot make any...,ATM / Debit Card,1.0,False
CMP2050,CMP2044,Debit card tokenization is not working on e-commerce websites. I cannot make any...,Debit card tokenization is not working on e-commerce websites. I cannot make any...,ATM / Debit Card,1.0,False
CMP2230,CMP2227,I am writing to complain about the following issue. My mobile number update requ...,I am writing to complain about the following issue. My mobile number update requ...,KYC / Documentation,1.0,False
CMP2230,CMP2236,I am writing to complain about the following issue. My mobile number update requ...,I am writing to complain about the following issue. My mobile number update requ...,KYC / Documentation,1.0,False
CMP2230,CMP2233,I am writing to complain about the following issue. My mobile number update requ...,I am writing to complain about the following issue. My mobile number update requ...,KYC / Documentation,1.0,False
CMP2295,CMP2295,Mobile app does not support the latest Android version. I cannot use banking on ...,Mobile app does not support the latest Android version. I cannot use banking on ...,Mobile Banking App,1.0,False
CMP2125,CMP2116,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Customer Service,1.0,False
CMP2125,CMP2119,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Customer Service,1.0,False
CMP2311,CMP2311,I am writing to complain about the following issue. Cannot download my account s...,I am writing to complain about the following issue. Cannot download my account s...,Mobile Banking App,1.0,False
CMP2311,CMP2314,I am writing to complain about the following issue. Cannot download my account s...,I am writing to complain about the following issue. Cannot download my account s...,Mobile Banking App,1.0,False
CMP2311,CMP2317,I am writing to complain about the following issue. Cannot download my account s...,I am writing to complain about the following issue. Cannot download my account s...,Mobile Banking App,1.0,False
CMP2318,CMP2318,Cannot download my account statement from the mobile app. Option is greyed out....,Cannot download my account statement from the mobile app. Option is greyed out....,Mobile Banking App,1.0,False
CMP2318,CMP2315,Cannot download my account statement from the mobile app. Option is greyed out....,Cannot download my account statement from the mobile app. Option is greyed out....,Mobile Banking App,1.0,False
CMP2045,CMP2045,I am writing to complain about the following issue. Debit card tokenization is n...,I am writing to complain about the following issue. Debit card tokenization is n...,ATM / Debit Card,1.0,False
CMP2045,CMP2054,I am writing to complain about the following issue. Debit card tokenization is n...,I am writing to complain about the following issue. Debit card tokenization is n...,ATM / Debit Card,1.0,False
CMP2045,CMP2048,I am writing to complain about the following issue. Debit card tokenization is n...,I am writing to complain about the following issue. Debit card tokenization is n...,ATM / Debit Card,1.0,False
CMP2047,CMP2047,Debit card tokenization is not working on e-commerce websites. I cannot make any...,Debit card tokenization is not working on e-commerce websites. I cannot make any...,ATM / Debit Card,1.0,False
CMP9016,CMP1023,Foreign currency transaction charges are much higher than what was disclosed in ...,Foreign currency transaction charges are much higher than what was disclosed in ...,Credit Card,1.0,False
CMP2067,CMP2067,Credit card minimum due amount is calculated incorrectly on my latest statement....,Credit card minimum due amount is calculated incorrectly on my latest statement....,Credit Card,1.0,False
CMP2067,CMP2064,Credit card minimum due amount is calculated incorrectly on my latest statement....,Credit card minimum due amount is calculated incorrectly on my latest statement....,Credit Card,1.0,False
CMP2067,CMP2058,Credit card minimum due amount is calculated incorrectly on my latest statement....,Credit card minimum due amount is calculated incorrectly on my latest statement....,Credit Card,1.0,False
CMP2193,CMP2193,I cannot view my account mini statement on net banking. The page gives a blank s...,I cannot view my account mini statement on net banking. The page gives a blank s...,Internet Banking,1.0,False
CMP2375,CMP2378,I cannot find the option to break my FD prematurely in the net banking portal. K...,I cannot find the option to break my FD prematurely in the net banking portal. K...,Fixed Deposit,1.0,False
CMP2238,CMP2238,My mobile number update request is pending for 1 month. I cannot receive OTPs on...,My mobile number update request is pending for 1 month. I cannot receive OTPs on...,KYC / Documentation,1.0,False
CMP2238,CMP2232,My mobile number update request is pending for 1 month. I cannot receive OTPs on...,My mobile number update request is pending for 1 month. I cannot receive OTPs on...,KYC / Documentation,1.0,False
CMP2238,CMP2229,My mobile number update request is pending for 1 month. I cannot receive OTPs on...,My mobile number update request is pending for 1 month. I cannot receive OTPs on...,KYC / Documentation,1.0,False
CMP2109,CMP2109,I visited the branch 4 times for a simple signature update but the work is still...,I visited the branch 4 times for a simple signature update but the work is still...,Customer Service,1.0,False
CMP2109,CMP2100,I visited the branch 4 times for a simple signature update but the work is still...,I visited the branch 4 times for a simple signature update but the work is still...,Customer Service,1.0,False
CMP2112,CMP2112,I visited the branch 4 times for a simple signature update but the work is still...,I visited the branch 4 times for a simple signature update but the work is still...,Customer Service,1.0,False
CMP2112,CMP2109,I visited the branch 4 times for a simple signature update but the work is still...,I visited the branch 4 times for a simple signature update but the work is still...,Customer Service,1.0,False
CMP2112,CMP2100,I visited the branch 4 times for a simple signature update but the work is still...,I visited the branch 4 times for a simple signature update but the work is still...,Customer Service,1.0,False
CMP2334,CMP2334,I am writing to complain about the following issue. Mobile banking PIN gets rese...,I am writing to complain about the following issue. Mobile banking PIN gets rese...,Mobile Banking App,1.0,False
CMP2334,CMP2328,I am writing to complain about the following issue. Mobile banking PIN gets rese...,I am writing to complain about the following issue. Mobile banking PIN gets rese...,Mobile Banking App,1.0,False
CMP2334,CMP2325,I am writing to complain about the following issue. Mobile banking PIN gets rese...,I am writing to complain about the following issue. Mobile banking PIN gets rese...,Mobile Banking App,1.0,False
CMP2240,CMP2240,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and rep...,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and rep...,KYC / Documentation,1.0,False
CMP2240,CMP2252,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and rep...,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and rep...,KYC / Documentation,1.0,False
CMP2240,CMP2246,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and rep...,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and rep...,KYC / Documentation,1.0,False
CMP2125,CMP2125,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Customer Service,1.0,False
CMP2250,CMP2241,I am writing to complain about the following issue. Bank is not accepting digita...,I am writing to complain about the following issue. Bank is not accepting digita...,KYC / Documentation,1.0,False
CMP2019,CMP2019,I have not received my debit card after opening account 3 weeks ago. Please disp...,I have not received my debit card after opening account 3 weeks ago. Please disp...,ATM / Debit Card,1.0,False
CMP2019,CMP2022,I have not received my debit card after opening account 3 weeks ago. Please disp...,I have not received my debit card after opening account 3 weeks ago. Please disp...,ATM / Debit Card,1.0,False
CMP2019,CMP2028,I have not received my debit card after opening account 3 weeks ago. Please disp...,I have not received my debit card after opening account 3 weeks ago. Please disp...,ATM / Debit Card,1.0,False
CMP2373,CMP2367,I am writing to complain about the following issue. I cannot find the option to ...,I am writing to complain about the following issue. I cannot find the option to ...,Fixed Deposit,1.0,False
CMP2373,CMP2373,I am writing to complain about the following issue. I cannot find the option to ...,I am writing to complain about the following issue. I cannot find the option to ...,Fixed Deposit,1.0,False
CMP2373,CMP2370,I am writing to complain about the following issue. I cannot find the option to ...,I am writing to complain about the following issue. I cannot find the option to ...,Fixed Deposit,1.0,False
CMP2245,CMP2245,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and rep...,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and rep...,KYC / Documentation,1.0,False
CMP2245,CMP2239,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and rep...,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and rep...,KYC / Documentation,1.0,False
CMP2245,CMP2251,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and rep...,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and rep...,KYC / Documentation,1.0,False
CMP2375,CMP2375,I cannot find the option to break my FD prematurely in the net banking portal. K...,I cannot find the option to break my FD prematurely in the net banking portal. K...,Fixed Deposit,1.0,False
CMP2375,CMP2366,I cannot find the option to break my FD prematurely in the net banking portal. K...,I cannot find the option to break my FD prematurely in the net banking portal. K...,Fixed Deposit,1.0,False
CMP2383,CMP2389,FD amount was not renewed on maturity date and instead credited to savings causi...,FD amount was not renewed on maturity date and instead credited to savings causi...,Fixed Deposit,1.0,False
CMP2119,CMP2119,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Customer Service,1.0,False
CMP2303,CMP2303,I am writing to complain about the following issue. Mobile app does not support ...,I am writing to complain about the following issue. Mobile app does not support ...,Mobile Banking App,1.0,False
CMP2303,CMP2300,I am writing to complain about the following issue. Mobile app does not support ...,I am writing to complain about the following issue. Mobile app does not support ...,Mobile Banking App,1.0,False
CMP2303,CMP2297,I am writing to complain about the following issue. Mobile app does not support ...,I am writing to complain about the following issue. Mobile app does not support ...,Mobile Banking App,1.0,False
CMP2080,CMP2080,My credit card was not delivered to my address even after 3 weeks of application...,My credit card was not delivered to my address even after 3 weeks of application...,Credit Card,1.0,False
CMP2080,CMP2083,My credit card was not delivered to my address even after 3 weeks of application...,My credit card was not delivered to my address even after 3 weeks of application...,Credit Card,1.0,False
CMP9010,CMP9010,I have been charged an annual fee of Rs 2000 on my credit card even though I was...,I have been charged an annual fee of Rs 2000 on my credit card even though I was...,Credit Card,1.0,True
CMP2117,CMP2117,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Customer Service,1.0,False
CMP2117,CMP2126,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Customer Service,1.0,False
CMP2077,CMP2077,My credit card was not delivered to my address even after 3 weeks of application...,My credit card was not delivered to my address even after 3 weeks of application...,Credit Card,1.0,False
CMP2077,CMP2080,My credit card was not delivered to my address even after 3 weeks of application...,My credit card was not delivered to my address even after 3 weeks of application...,Credit Card,1.0,False
CMP2077,CMP2083,My credit card was not delivered to my address even after 3 weeks of application...,My credit card was not delivered to my address even after 3 weeks of application...,Credit Card,1.0,False
CMP2116,CMP2116,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Customer Service,1.0,False
CMP2116,CMP2119,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Customer Service,1.0,False
CMP2250,CMP2250,I am writing to complain about the following issue. Bank is not accepting digita...,I am writing to complain about the following issue. Bank is not accepting digita...,KYC / Documentation,1.0,False
CMP2219,CMP2222,I am writing to complain about the following issue. My net banking account was s...,I am writing to complain about the following issue. My net banking account was s...,Internet Banking,1.0,False
CMP2219,CMP2216,I am writing to complain about the following issue. My net banking account was s...,I am writing to complain about the following issue. My net banking account was s...,Internet Banking,1.0,False
CMP2002,CMP2002,My debit card transaction was declined at the petrol pump even though I have suf...,My debit card transaction was declined at the petrol pump even though I have suf...,ATM / Debit Card,1.0,False
CMP2002,CMP2008,My debit card transaction was declined at the petrol pump even though I have suf...,My debit card transaction was declined at the petrol pump even though I have suf...,ATM / Debit Card,1.0,False
CMP2002,CMP2005,My debit card transaction was declined at the petrol pump even though I have suf...,My debit card transaction was declined at the petrol pump even though I have suf...,ATM / Debit Card,1.0,False
CMP1093,CMP1093,QR code payment scan is not working in the mobile app. Camera opens but does not...,QR code payment scan is not working in the mobile app. Camera opens but does not...,Mobile Banking App,1.0,False
CMP2339,CMP2339,I am writing to complain about the following issue. Aadhaar seeding with bank ac...,I am writing to complain about the following issue. Aadhaar seeding with bank ac...,Account Opening,1.0,False
CMP2339,CMP2342,I am writing to complain about the following issue. Aadhaar seeding with bank ac...,I am writing to complain about the following issue. Aadhaar seeding with bank ac...,Account Opening,1.0,False
CMP2339,CMP2345,I am writing to complain about the following issue. Aadhaar seeding with bank ac...,I am writing to complain about the following issue. Aadhaar seeding with bank ac...,Account Opening,1.0,False
CMP2113,CMP2125,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Customer Service,1.0,False
CMP2113,CMP2116,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Customer Service,1.0,False
CMP2113,CMP2119,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Email sent to customer support 3 weeks ago has not received any response whatsoe...,Customer Service,1.0,False
CMP2007,CMP2007,My debit card transaction was declined at the petrol pump even though I have suf...,My debit card transaction was declined at the petrol pump even though I have suf...,ATM / Debit Card,1.0,False
CMP2007,CMP2001,My debit card transaction was declined at the petrol pump even though I have suf...,My debit card transaction was declined at the petrol pump even though I have suf...,ATM / Debit Card,1.0,False
CMP2383,CMP2383,FD amount was not renewed on maturity date and instead credited to savings causi...,FD amount was not renewed on maturity date and instead credited to savings causi...,Fixed Deposit,1.0,False
CMP2383,CMP2392,FD amount was not renewed on maturity date and instead credited to savings causi...,FD amount was not renewed on maturity date and instead credited to savings causi...,Fixed Deposit,1.0,False
CMP2041,CMP2029,ATM dispensed less cash than the amount requested but full amount was debited fr...,ATM dispensed less cash than the amount requested but full amount was debited fr...,ATM / Debit Card,1.0,False
CMP2133,CMP2133,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Customer Service,1.0,False
CMP2133,CMP2127,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Customer Service,1.0,False
CMP2257,CMP2257,Loan repayment schedule shared at disbursement does not match what is being dedu...,Loan repayment schedule shared at disbursement does not match what is being dedu...,Loan Services,1.0,False
CMP2257,CMP2260,Loan repayment schedule shared at disbursement does not match what is being dedu...,Loan repayment schedule shared at disbursement does not match what is being dedu...,Loan Services,1.0,False
