complaint_id,complaint_text,category,sentiment,severity,channel,branch,status,resolution_note,created_date,resolution_days,is_duplicate,duplicate_of
CMP1028,My minor account was not converted to major despite submitting PAN.,Account Opening,Disappointed,Medium,Phone Call,Malviya Nagar Jaipur,Escalated,,2024-07-19,,False,
CMP1029,Unable to register on Vyom app using my Aadhaar.,Mobile Banking App,Angry,Low,Mobile App,Banjara Hills Hyderabad,Resolved,We have processed the refund. It will reflect in 3-5 working days.,2023-07-03,3.0,False,
CMP1030,Grievance redressal officer is not responding to my escalated complaint.,Customer Service,Urgent,Critical,Web Portal,Navrangpura Ahmedabad,Open,,2023-07-15,,False,
CMP1031,Need to update my signature but branch says system is down.,KYC / Documentation,Angry,High,Branch Visit,Connaught Place Delhi,Open,,2023-03-08,,False,
CMP1032,Sent an email to customercare@unionbankofindia.com but no reply.,Customer Service,Urgent,Medium,Web Portal,MG Road Bangalore,In Progress,,2024-11-19,,False,
CMP1033,My account is frozen due to pending KYC despite submitting documents online.,KYC / Documentation,Angry,Medium,Email,Hazratganj Lucknow,In Progress,,2023-01-20,,False,
CMP1034,UPI payment via Vyom app is failing continuously.,Fund Transfer / NEFT / RTGS,Angry,High,Branch Visit,Hazratganj Lucknow,Escalated,,2023-04-02,,False,
CMP1035,Grievance redressal officer is not responding to my escalated complaint.,Customer Service,Frustrated,Low,Social Media,Hazratganj Lucknow,Open,,2024-12-20,,False,
CMP1036,Charged an annual fee for my Union Bank lifetime free credit card.,Credit Card,Disappointed,Critical,Web Portal,MG Road Bangalore,Escalated,,2023-05-30,,False,
CMP1037,Beneficiary received money but my account shows 'transaction failed'.,Fund Transfer / NEFT / RTGS,Urgent,Low,Mobile App,Shivajinagar Pune,Resolved,We regret the delay. The card has been dispatched via Speed Post.,2023-09-23,12.0,False,
CMP1038,My account is frozen due to pending KYC despite submitting documents online.,KYC / Documentation,Urgent,Low,Phone Call,T Nagar Chennai,Open,,2023-12-07,,False,
CMP1039,Union Miles credit card reward points are not credited properly.,Credit Card,Urgent,Critical,Web Portal,T Nagar Chennai,Resolved,Your request is in progress and will be completed within 48 hours.,2023-10-04,14.0,False,
CMP1040,Need to update my signature but branch says system is down.,KYC / Documentation,Neutral,Critical,Social Media,Shivajinagar Pune,In Progress,,2023-12-04,,False,
CMP1041,RTGS transaction rejected but refund not received.,Fund Transfer / NEFT / RTGS,Urgent,Medium,Phone Call,Connaught Place Delhi,Resolved,Your complaint has been forwarded to the technical team.,2024-08-31,14.0,False,
CMP1042,UPI payment via Vyom app is failing continuously.,Fund Transfer / NEFT / RTGS,Angry,Critical,Social Media,Banjara Hills Hyderabad,Open,,2023-02-13,,False,
CMP1043,Cannot reset my MPIN on the Union Bank Vyom app.,Mobile Banking App,Disappointed,Medium,Phone Call,MG Road Bangalore,Escalated,,2024-03-02,,False,
CMP1044,My FD matured but the amount is not credited to my savings account.,Fixed Deposit,Frustrated,Low,Phone Call,Salt Lake Kolkata,Resolved,Please visit your base branch with original KYC documents.,2024-01-01,13.0,False,
CMP1045,Vyom app shows 'server error' during NEFT transfer.,Mobile Banking App,Neutral,Medium,Web Portal,Connaught Place Delhi,Open,,2023-02-10,,False,
CMP1046,My minor account was not converted to major despite submitting PAN.,Account Opening,Neutral,Low,Mobile App,Malviya Nagar Jaipur,Resolved,We have processed the refund. It will reflect in 3-5 working days.,2023-01-30,11.0,False,
CMP1047,Unable to register on Vyom app using my Aadhaar.,Mobile Banking App,Disappointed,Medium,Web Portal,Malviya Nagar Jaipur,In Progress,,2024-12-06,,False,
CMP1048,"Requested a new debit card via Vyom app, haven't received it in 20 days.",ATM / Debit Card,Disappointed,High,Email,Salt Lake Kolkata,Escalated,,2023-07-15,,False,
CMP1049,Initial funding failed but money was deducted during account opening.,Account Opening,Angry,Low,Branch Visit,MG Road Bangalore,Resolved,Please visit your base branch with original KYC documents.,2023-01-08,11.0,False,
CMP1050,Corporate internet banking transaction password is not arriving via SMS.,Internet Banking,Disappointed,Medium,Branch Visit,Malviya Nagar Jaipur,Open,,2024-09-18,,False,
CMP1051,Union Bank tax saver FD receipt is not downloading.,Fixed Deposit,Neutral,Medium,Branch Visit,T Nagar Chennai,Resolved,We apologize for the inconvenience. The issue has been resolved.,2023-01-22,6.0,False,
CMP1052,UPI payment via Vyom app is failing continuously.,Fund Transfer / NEFT / RTGS,Frustrated,Critical,Branch Visit,Navrangpura Ahmedabad,Open,,2023-12-26,,False,
CMP1053,Interest rate applied on my senior citizen FD is incorrect.,Fixed Deposit,Frustrated,Critical,Web Portal,Shivajinagar Pune,In Progress,,2024-11-02,,False,
CMP1054,My minor account was not converted to major despite submitting PAN.,Account Opening,Disappointed,Low,Phone Call,Malviya Nagar Jaipur,Open,,2023-06-17,,False,
CMP1055,ATM dispensed less cash but full amount deducted from my UBI account.,ATM / Debit Card,Neutral,Low,Mobile App,MG Road Bangalore,Open,,2024-03-23,,False,
CMP1056,My FD matured but the amount is not credited to my savings account.,Fixed Deposit,Urgent,Low,Email,Nariman Point Mumbai,Escalated,,2024-12-25,,False,
CMP1057,Bill payment done via NEFT is not reflecting in my credit card statement.,Credit Card,Angry,High,Web Portal,Salt Lake Kolkata,Resolved,Please visit your base branch with original KYC documents.,2024-09-14,11.0,False,
CMP1058,Credit card limit was reduced without any prior notice.,Credit Card,Disappointed,Critical,Branch Visit,Banjara Hills Hyderabad,In Progress,,2023-11-14,,False,
CMP1059,Vyom app shows 'server error' during NEFT transfer.,Mobile Banking App,Frustrated,Low,Mobile App,Navrangpura Ahmedabad,Resolved,We have processed the refund. It will reflect in 3-5 working days.,2024-07-27,7.0,False,
CMP1060,Cannot reset my MPIN on the Union Bank Vyom app.,Mobile Banking App,Urgent,Low,Social Media,Malviya Nagar Jaipur,Open,,2024-11-11,,False,
CMP1061,NEFT transfer to SBI is pending for over 24 hours.,Fund Transfer / NEFT / RTGS,Urgent,Medium,Mobile App,Connaught Place Delhi,In Progress,,2023-05-02,,False,
CMP1062,Charged an annual fee for my Union Bank lifetime free credit card.,Credit Card,Frustrated,High,Social Media,Nariman Point Mumbai,In Progress,,2024-06-12,,False,
CMP1063,Union Bank net banking portal is down for the last 3 days.,Internet Banking,Frustrated,Medium,Mobile App,Hazratganj Lucknow,In Progress,,2023-01-31,,False,
CMP1064,Session expires too fast on Union Bank internet banking.,Internet Banking,Angry,High,Phone Call,Connaught Place Delhi,Escalated,,2023-05-21,,False,
CMP1065,Branch manager at MG Road Bangalore is not releasing property documents after loan closure.,Loan Services,Urgent,Low,Branch Visit,MG Road Bangalore,Open,,2023-03-23,,False,
CMP1066,My account is frozen due to pending KYC despite submitting documents online.,KYC / Documentation,Disappointed,Medium,Social Media,Navrangpura Ahmedabad,Open,,2024-03-16,,False,
CMP1067,Need to update my signature but branch says system is down.,KYC / Documentation,Angry,High,Branch Visit,Banjara Hills Hyderabad,Escalated,,2024-09-12,,False,
CMP1068,ATM dispensed less cash but full amount deducted from my UBI account.,ATM / Debit Card,Neutral,Low,Web Portal,T Nagar Chennai,Open,,2023-05-27,,False,
CMP1069,Need to update my signature but branch says system is down.,KYC / Documentation,Disappointed,Low,Social Media,Salt Lake Kolkata,In Progress,,2023-07-08,,False,
CMP1070,My minor account was not converted to major despite submitting PAN.,Account Opening,Neutral,Low,Branch Visit,T Nagar Chennai,Open,,2023-12-31,,False,
CMP1071,Contactless payment is not working on my Union Bank Visa card.,ATM / Debit Card,Frustrated,High,Phone Call,Shivajinagar Pune,In Progress,,2024-05-29,,False,
CMP1072,Beneficiary received money but my account shows 'transaction failed'.,Fund Transfer / NEFT / RTGS,Neutral,Low,Email,Connaught Place Delhi,In Progress,,2024-08-18,,False,
CMP1073,My minor account was not converted to major despite submitting PAN.,Account Opening,Urgent,Low,Phone Call,Shivajinagar Pune,Escalated,,2023-12-14,,False,
CMP1074,Sent an email to customercare@unionbankofindia.com but no reply.,Customer Service,Frustrated,Low,Phone Call,Banjara Hills Hyderabad,Resolved,The technical glitch in Vyom app has been fixed in the latest update.,2024-03-29,7.0,False,
CMP1075,"Requested a new debit card via Vyom app, haven't received it in 20 days.",ATM / Debit Card,Frustrated,High,Email,Navrangpura Ahmedabad,Escalated,,2023-04-10,,False,
CMP1076,My FD matured but the amount is not credited to my savings account.,Fixed Deposit,Disappointed,Critical,Email,Salt Lake Kolkata,In Progress,,2023-03-27,,False,
CMP1077,Unable to complete video KYC for new Union Bank account.,Account Opening,Neutral,Critical,Mobile App,Navrangpura Ahmedabad,Open,,2023-09-10,,False,
CMP1078,Union Miles credit card reward points are not credited properly.,Credit Card,Urgent,Low,Web Portal,Malviya Nagar Jaipur,Open,,2023-12-29,,False,
CMP1079,Staff at Nariman Point Mumbai were very rude when I went to update my passbook.,Customer Service,Urgent,Low,Mobile App,Nariman Point Mumbai,In Progress,,2024-10-20,,True,CMP1048
CMP1080,RTGS transaction rejected but refund not received.,Fund Transfer / NEFT / RTGS,Angry,Medium,Social Media,Salt Lake Kolkata,Resolved,Your request is in progress and will be completed within 48 hours.,2023-03-27,3.0,False,
CMP1081,Charged an annual fee for my Union Bank lifetime free credit card.,Credit Card,Neutral,Critical,Email,Salt Lake Kolkata,Escalated,,2023-05-21,,False,
CMP1082,Submitted Aadhaar and PAN at MG Road Bangalore but KYC is still pending.,KYC / Documentation,Frustrated,Low,Social Media,MG Road Bangalore,Open,,2023-12-15,,False,
CMP1083,Not able to add beneficiary in retail internet banking.,Internet Banking,Angry,High,Web Portal,Connaught Place Delhi,In Progress,,2024-01-21,,False,
CMP1084,Opened a digital savings account via Vyom app but account is inactive.,Account Opening,Frustrated,Low,Social Media,Salt Lake Kolkata,Resolved,We regret the delay. The card has been dispatched via Speed Post.,2023-07-03,1.0,False,
CMP1085,RTGS transaction rejected but refund not received.,Fund Transfer / NEFT / RTGS,Neutral,Low,Email,Navrangpura Ahmedabad,In Progress,,2023-01-31,,False,
CMP1086,Interest rate applied on my senior citizen FD is incorrect.,Fixed Deposit,Angry,Critical,Web Portal,Salt Lake Kolkata,Resolved,We apologize for the inconvenience. The issue has been resolved.,2023-04-29,10.0,False,
CMP1087,Sent an email to customercare@unionbankofindia.com but no reply.,Customer Service,Neutral,Critical,Email,Navrangpura Ahmedabad,Escalated,,2023-07-04,,False,
CMP1088,Not able to add beneficiary in retail internet banking.,Internet Banking,Angry,Medium,Web Portal,Salt Lake Kolkata,Resolved,Your complaint has been forwarded to the technical team.,2024-04-11,3.0,False,
CMP1089,Salary account opened at Banjara Hills Hyderabad but welcome kit not received.,Account Opening,Neutral,Low,Mobile App,Banjara Hills Hyderabad,Escalated,,2024-05-03,,False,
CMP1090,Union Home loan EMI deducted twice this month.,Loan Services,Urgent,Critical,Web Portal,Navrangpura Ahmedabad,In Progress,,2024-11-13,,False,
CMP1091,Contactless payment is not working on my Union Bank Visa card.,ATM / Debit Card,Neutral,High,Mobile App,Salt Lake Kolkata,Resolved,Your complaint has been forwarded to the technical team.,2024-09-04,14.0,False,
CMP1092,Credit card limit was reduced without any prior notice.,Credit Card,Disappointed,Low,Email,Salt Lake Kolkata,Open,,2024-11-29,,False,
CMP1093,IMPS transfer failed but money debited from my UBI account.,Fund Transfer / NEFT / RTGS,Neutral,Critical,Social Media,MG Road Bangalore,Resolved,We regret the delay. The card has been dispatched via Speed Post.,2024-10-18,2.0,False,
CMP1094,Name mismatch issue in CKYC is not being resolved by the branch.,KYC / Documentation,Urgent,Medium,Branch Visit,Shivajinagar Pune,Open,,2024-07-06,,False,
CMP1095,Vyom app shows 'server error' during NEFT transfer.,Mobile Banking App,Frustrated,Low,Branch Visit,MG Road Bangalore,Escalated,,2023-02-03,,False,
CMP1096,Union Home loan EMI deducted twice this month.,Loan Services,Angry,Low,Social Media,Shivajinagar Pune,In Progress,,2024-10-17,,False,
CMP1097,Branch manager at Nariman Point Mumbai is not releasing property documents after loan closure.,Loan Services,Angry,Medium,Phone Call,Nariman Point Mumbai,Escalated,,2024-03-30,,False,
CMP1098,ATM dispensed less cash but full amount deducted from my UBI account.,ATM / Debit Card,Neutral,Critical,Social Media,Nariman Point Mumbai,Open,,2023-11-03,,False,
CMP1099,RTGS transaction rejected but refund not received.,Fund Transfer / NEFT / RTGS,Disappointed,Low,Phone Call,Hazratganj Lucknow,Resolved,Your complaint has been forwarded to the technical team.,2023-12-12,3.0,False,
CMP1100,Union Bank tax saver FD receipt is not downloading.,Fixed Deposit,Neutral,Low,Email,Hazratganj Lucknow,Escalated,,2023-05-04,,False,
CMP1101,ATM dispensed less cash but full amount deducted from my UBI account.,ATM / Debit Card,Frustrated,Medium,Social Media,Salt Lake Kolkata,Resolved,Your request is in progress and will be completed within 48 hours.,2023-02-09,9.0,False,
CMP1102,Corporate internet banking transaction password is not arriving via SMS.,Internet Banking,Angry,Medium,Web Portal,Malviya Nagar Jaipur,In Progress,,2024-03-02,,False,
CMP1103,UPI payment via Vyom app is failing continuously.,Fund Transfer / NEFT / RTGS,Frustrated,Critical,Mobile App,T Nagar Chennai,In Progress,,2024-01-24,,True,CMP1001
CMP1104,"Requested a new debit card via Vyom app, haven't received it in 20 days.",ATM / Debit Card,Disappointed,Medium,Email,MG Road Bangalore,Resolved,Please visit your base branch with original KYC documents.,2023-06-12,14.0,False,
CMP1105,Premature withdrawal of FD through net banking is throwing an error.,Fixed Deposit,Angry,High,Phone Call,Nariman Point Mumbai,Escalated,,2024-06-02,,False,
CMP1106,Cannot link my FD to my savings account for overdraft facility.,Fixed Deposit,Urgent,Critical,Social Media,Connaught Place Delhi,Open,,2023-11-29,,True,CMP1058
CMP1107,"Requested a new debit card via Vyom app, haven't received it in 20 days.",ATM / Debit Card,Angry,Medium,Phone Call,T Nagar Chennai,In Progress,,2023-05-22,,False,
CMP1108,"U-Mobile app is very slow, transferring funds via UPI fails.",Mobile Banking App,Neutral,High,Email,Malviya Nagar Jaipur,Escalated,,2023-02-23,,False,
CMP1109,Union Bank net banking portal is down for the last 3 days.,Internet Banking,Frustrated,Critical,Social Media,Connaught Place Delhi,Escalated,,2024-01-05,,False,
CMP1110,Salary account opened at MG Road Bangalore but welcome kit not received.,Account Opening,Urgent,High,Web Portal,MG Road Bangalore,Resolved,Please visit your base branch with original KYC documents.,2024-07-03,14.0,False,
CMP1111,RTGS transaction rejected but refund not received.,Fund Transfer / NEFT / RTGS,Angry,Critical,Mobile App,Shivajinagar Pune,Escalated,,2023-02-13,,False,
CMP1112,Session expires too fast on Union Bank internet banking.,Internet Banking,Urgent,Medium,Phone Call,Nariman Point Mumbai,Open,,2023-04-21,,False,
CMP1113,RTGS transaction rejected but refund not received.,Fund Transfer / NEFT / RTGS,Urgent,Low,Mobile App,Shivajinagar Pune,Escalated,,2024-03-06,,False,
CMP1114,UPI payment via Vyom app is failing continuously.,Fund Transfer / NEFT / RTGS,Angry,High,Email,MG Road Bangalore,Resolved,The technical glitch in Vyom app has been fixed in the latest update.,2024-08-29,3.0,False,
CMP1115,Union Miles credit card reward points are not credited properly.,Credit Card,Urgent,Critical,Phone Call,T Nagar Chennai,In Progress,,2023-03-29,,False,
CMP1116,Credit card limit was reduced without any prior notice.,Credit Card,Angry,Medium,Social Media,Connaught Place Delhi,Escalated,,2023-04-10,,False,
CMP1117,Vyom app shows 'server error' during NEFT transfer.,Mobile Banking App,Angry,High,Email,Hazratganj Lucknow,Open,,2023-08-25,,False,
CMP1118,Cannot link my FD to my savings account for overdraft facility.,Fixed Deposit,Disappointed,Low,Branch Visit,Navrangpura Ahmedabad,Open,,2024-03-12,,False,
CMP1119,Debit card got stuck in the Union Bank ATM at T Nagar Chennai.,ATM / Debit Card,Urgent,Medium,Phone Call,T Nagar Chennai,Open,,2024-08-24,,False,
CMP1120,"Requested a new debit card via Vyom app, haven't received it in 20 days.",ATM / Debit Card,Frustrated,Critical,Branch Visit,MG Road Bangalore,Resolved,The technical glitch in Vyom app has been fixed in the latest update.,2023-03-12,2.0,False,
CMP1121,Bill payment done via NEFT is not reflecting in my credit card statement.,Credit Card,Urgent,Medium,Web Portal,Hazratganj Lucknow,Resolved,We have processed the refund. It will reflect in 3-5 working days.,2024-06-18,11.0,False,
CMP1122,Submitted Aadhaar and PAN at Nariman Point Mumbai but KYC is still pending.,KYC / Documentation,Disappointed,High,Phone Call,Nariman Point Mumbai,Resolved,We regret the delay. The card has been dispatched via Speed Post.,2023-06-09,8.0,False,
CMP1123,Charged an annual fee for my Union Bank lifetime free credit card.,Credit Card,Disappointed,Medium,Mobile App,Malviya Nagar Jaipur,Resolved,We apologize for the inconvenience. The issue has been resolved.,2024-04-22,2.0,False,
CMP1124,Want to upgrade my credit card to Union Premier but no response.,Credit Card,Disappointed,Low,Web Portal,Malviya Nagar Jaipur,Open,,2024-10-21,,False,
CMP1125,RTGS transaction rejected but refund not received.,Fund Transfer / NEFT / RTGS,Angry,Low,Phone Call,Banjara Hills Hyderabad,Escalated,,2023-05-28,,False,
CMP1126,Name mismatch issue in CKYC is not being resolved by the branch.,KYC / Documentation,Angry,High,Branch Visit,Banjara Hills Hyderabad,Resolved,The technical glitch in Vyom app has been fixed in the latest update.,2023-06-04,5.0,False,
CMP1127,Union Home loan EMI deducted twice this month.,Loan Services,Neutral,High,Social Media,Hazratganj Lucknow,Resolved,Your complaint has been forwarded to the technical team.,2024-09-15,5.0,False,
CMP1128,Waited for 2 hours at MG Road Bangalore just to submit a KYC form.,Customer Service,Frustrated,Low,Phone Call,MG Road Bangalore,In Progress,,2023-04-29,,False,
CMP1129,My net banking password got locked and online reset is not working.,Internet Banking,Disappointed,Medium,Email,Salt Lake Kolkata,Escalated,,2023-07-18,,False,
CMP1130,My net banking password got locked and online reset is not working.,Internet Banking,Frustrated,Medium,Mobile App,Navrangpura Ahmedabad,Open,,2024-04-09,,False,
CMP1131,Prepayment of my Union Education loan is not updated in the portal.,Loan Services,Urgent,High,Web Portal,Connaught Place Delhi,Escalated,,2023-12-12,,False,
CMP1132,Interest rate on my home loan was not reduced despite repo rate cut.,Loan Services,Frustrated,Low,Social Media,T Nagar Chennai,In Progress,,2024-12-18,,True,CMP1023
CMP1133,Premature withdrawal of FD through net banking is throwing an error.,Fixed Deposit,Disappointed,High,Email,Shivajinagar Pune,Escalated,,2024-12-04,,False,
CMP1134,Vyom app e-KYC video call disconnected and now I can't retry.,KYC / Documentation,Urgent,Critical,Phone Call,Navrangpura Ahmedabad,Resolved,We apologize for the inconvenience. The issue has been resolved.,2024-03-03,9.0,False,
CMP1135,Unable to register on Vyom app using my Aadhaar.,Mobile Banking App,Angry,Low,Social Media,Connaught Place Delhi,In Progress,,2023-10-06,,False,
CMP1136,Interest rate on my home loan was not reduced despite repo rate cut.,Loan Services,Urgent,High,Web Portal,Connaught Place Delhi,Open,,2023-10-28,,False,
CMP1137,Union Bank net banking portal is down for the last 3 days.,Internet Banking,Frustrated,High,Social Media,Salt Lake Kolkata,Open,,2023-07-05,,False,
CMP1138,Unable to complete video KYC for new Union Bank account.,Account Opening,Disappointed,Medium,Email,Navrangpura Ahmedabad,Escalated,,2023-10-27,,False,
CMP1139,My net banking password got locked and online reset is not working.,Internet Banking,Disappointed,Medium,Social Media,Banjara Hills Hyderabad,In Progress,,2024-10-28,,False,
CMP1140,Prepayment of my Union Education loan is not updated in the portal.,Loan Services,Disappointed,Medium,Branch Visit,Nariman Point Mumbai,In Progress,,2024-09-10,,False,
CMP1141,Session expires too fast on Union Bank internet banking.,Internet Banking,Frustrated,Critical,Phone Call,Nariman Point Mumbai,Escalated,,2024-06-21,,False,
CMP1142,Vyom app shows 'server error' during NEFT transfer.,Mobile Banking App,Frustrated,Medium,Social Media,Connaught Place Delhi,In Progress,,2023-02-03,,False,
CMP1143,My Union Bank Rupay Platinum debit card was declined at a merchant.,ATM / Debit Card,Disappointed,Medium,Social Media,Banjara Hills Hyderabad,Escalated,,2023-02-25,,False,
CMP1144,The Vyom app keeps crashing when I try to login.,Mobile Banking App,Neutral,Low,Branch Visit,Salt Lake Kolkata,Escalated,,2024-10-14,,False,
CMP1145,Unable to complete video KYC for new Union Bank account.,Account Opening,Urgent,Medium,Phone Call,Navrangpura Ahmedabad,Resolved,We apologize for the inconvenience. The issue has been resolved.,2023-06-12,3.0,False,
CMP1146,Union Bank net banking portal is down for the last 3 days.,Internet Banking,Frustrated,Critical,Phone Call,T Nagar Chennai,Resolved,Your request is in progress and will be completed within 48 hours.,2024-08-10,12.0,False,
CMP1147,My net banking password got locked and online reset is not working.,Internet Banking,Frustrated,Low,Mobile App,Connaught Place Delhi,Escalated,,2024-09-19,,False,
CMP1148,My FD matured but the amount is not credited to my savings account.,Fixed Deposit,Angry,Low,Mobile App,Connaught Place Delhi,Open,,2024-06-10,,False,
CMP1149,Cannot reset my MPIN on the Union Bank Vyom app.,Mobile Banking App,Urgent,Low,Email,Hazratganj Lucknow,In Progress,,2023-01-11,,False,
CMP1150,Vyom app shows 'server error' during NEFT transfer.,Mobile Banking App,Neutral,Critical,Branch Visit,Hazratganj Lucknow,In Progress,,2024-12-19,,False,
CMP1151,Staff at Banjara Hills Hyderabad were very rude when I went to update my passbook.,Customer Service,Frustrated,Low,Mobile App,Banjara Hills Hyderabad,Resolved,Your request is in progress and will be completed within 48 hours.,2024-09-10,1.0,False,
CMP1152,Vyom app e-KYC video call disconnected and now I can't retry.,KYC / Documentation,Angry,Medium,Branch Visit,T Nagar Chennai,Resolved,Your request is in progress and will be completed within 48 hours.,2023-09-10,12.0,False,
CMP1153,My net banking password got locked and online reset is not working.,Internet Banking,Frustrated,Low,Mobile App,Malviya Nagar Jaipur,Open,,2023-09-13,,False,
CMP1154,My account is frozen due to pending KYC despite submitting documents online.,KYC / Documentation,Disappointed,Medium,Social Media,T Nagar Chennai,In Progress,,2023-12-16,,False,
CMP1155,Branch manager at Connaught Place Delhi is not releasing property documents after loan closure.,Loan Services,Angry,Critical,Web Portal,Connaught Place Delhi,Open,,2024-02-01,,False,
CMP1156,"Requested a new debit card via Vyom app, haven't received it in 20 days.",ATM / Debit Card,Angry,Critical,Email,Shivajinagar Pune,Escalated,,2024-07-26,,False,
CMP1157,Cannot reset my MPIN on the Union Bank Vyom app.,Mobile Banking App,Urgent,Low,Web Portal,Nariman Point Mumbai,Resolved,We regret the delay. The card has been dispatched via Speed Post.,2023-02-27,14.0,False,
CMP1158,Union Bank tax saver FD receipt is not downloading.,Fixed Deposit,Neutral,High,Mobile App,Malviya Nagar Jaipur,Open,,2023-03-10,,False,
CMP1159,Interest rate applied on my senior citizen FD is incorrect.,Fixed Deposit,Angry,Low,Phone Call,Navrangpura Ahmedabad,Open,,2023-06-27,,False,
CMP1160,Opened a digital savings account via Vyom app but account is inactive.,Account Opening,Urgent,Critical,Social Media,Banjara Hills Hyderabad,Open,,2024-01-14,,False,
